Banner_ID,Reporting_Label,Targeting_Key,Creative_Dimension,Default,Active,Exit_URL,Concept,Abbv,Color_Version,Ani_Style,BgTheme,TxtColor,RibbonTxtColor,RibbonColor,RibbonTxt,RibbonTxt_css,Txt1,Txt1_css,Txt1_Pause,Txt2,Txt2_css,CtaTxt,CtaTxt_css,CtaBtn_css,Replay_css,Banner_json,Back_img,Front_img
Default_300x250,Default Social Security T1 N Graphic 300x250,rip_ss_opt1,300x250,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,"fontSize: 12px, lineHeight: 13px, letterSpacing: 0px",Simplify how your clients get the most from Social Security.,"fontSize: 24px, lineHeight: 26px, letterSpacing: 0px",3.5,Help clients understand <br>the foundation of <br>their retirement plan.,"fontSize: 20px, lineHeight: 22px, letterSpacing: 0px",Learn more,"fontSize: 11px, lineHeight: 13px, letterSpacing: 0px","height:20px, letterSpacing:0px","top:5px, left:5px",js/ss.json,ss_back_t1_300x250_2x.jpg,ss_front_t1_300x250_2x.png
Default_160x600,Default Social Security T1 N Graphic 160x600,rip_ss_opt1,160x600,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get the most from Social Security.,,3.5,Help clients understand the foundation of their retirement plan.,,Learn more,,,,,ss_back_t1_160x600_2x.jpg,ss_front_t1_160x600_2x.png
Default_300x600,Default Social Security T1 N Graphic 300x600,rip_ss_opt1,300x600,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get the most from Social Security.,,3.5,Help clients understand the foundation of their retirement plan.,,Learn more,,,,,ss_back_t1_300x600_2x.jpg,ss_front_t1_300x600_2x.png
Default_728x90,Default Social Security T1 N Crop 728x90,rip_ss_opt1,728x90,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Crop,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get <br>the most from Social Security.,,3.5,Help clients understand <br>the foundation of their <br>retirement plan.,,Learn more,,,,,ss_back_t1_728x90_2x.jpg,
Default_970x90,Default Social Security T1 N Crop 970x90,rip_ss_opt1,970x90,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Crop,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get <br>the most from Social Security.,,3.5,Help clients understand the foundation <br>of their retirement plan.,,Learn more,,,,,ss_back_t1_970x90_2x.jpg,
IPG_T1_160x600,In-Plan Guarantees T1 N Graphic 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about <br>a new guaranteed lifetime income investment option.,,Learn more,,,,,ipg_back_t1_160x600_2x.jpg,ipg_front_t1_160x600_2x.png
IPG_T1_300x250,In-Plan Guarantees T1 N Graphic 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime<br>income investment option.,,Learn more,,,,,ipg_back_t1_300x250_2x.jpg,ipg_front_t1_300x250_2x.png
IPG_T1_300x600,In-Plan Guarantees T1 N Graphic 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime<br>income investment option.,,Learn more,,,,,ipg_back_t1_300x600_2x.jpg,ipg_front_t1_300x600_2x.png
IPG_T1_728x90,In-Plan Guarantees T1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed <br>lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime&nbsp;income&nbsp;investment&nbsp;option.,,Learn more,,,,,ipg_back_t1_728x90_2x.jpg,
IPG_T1_970x90,In-Plan Guarantees T1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed <br>lifetime income solutions. ,,3.5,Learn about a new guaranteed<br>lifetime income investment&nbsp;option.,,Learn more,,,,,ipg_back_t1_970x90_2x.jpg,
IPG_T2_160x600,In-Plan Guarantees T2 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,See how plan participants can create guaranteed lifetime income.,,3.5,Our education and tools<br>help simplify the benefits<br>of in-plan guarantees.,,Learn more,,,,,ipg_back_t2_160x600_2x.jpg,ipg_front_t2_160x600_2x.png
IPG_T2_300x250,In-Plan Guarantees T2 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,See how plan <br>participants can <br>create guaranteed <br>lifetime income.,,3.5,Our education and tools<br>help simplify the benefits<br>of in-plan guarantees.,,Learn more,,,,,ipg_back_t2_300x250_2x.jpg,ipg_front_t2_300x250_2x.png
IPG_T2_300x600,In-Plan Guarantees T2 N Window 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,See how plan participants can create guaranteed lifetime income.,,3.5,Our education and tools help simplify the benefits of in-plan guarantees.,,Learn more,,,,,ipg_back_t2_300x600_2x.jpg,ipg_front_t2_300x600_2x.png
IPG_T2_728x90,In-Plan Guarantees T2 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T2,N Crop,Vibrant Blue - White,,,,Retirement Plans,,See how plan participants can create guaranteed lifetime income.,,3.5,Our education and tools <br>help simplify the benefits <br>of in-plan guarantees.,,Learn more,,,,,ipg_back_t2_728x90_2x.jpg,
IPG_T2_970x90,In-Plan Guarantees T2 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T2,N Crop,Vibrant Blue - White,,,,Retirement Plans,,See how plan participants can create guaranteed lifetime income.,,3.5,Our education and tools help simplify <br>the benefits of in-plan guarantees.,,Learn more,,,,,ipg_back_t2_970x90_2x.jpg,
IPG_SS_T1_160x600,IPG Social Security T1 N Graphic 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T1,N Graphic,Vibrant Blue - White,,,,Social Security <br>360 Analyzer®,,Maximize Social Security <br>to provide more benefits.,,3.5,Simplify finding your clients' best filing scenario.,,See video,,,,,ipg_ss_back_t1_160x600_2x.jpg,ipg_ss_front_t1_160x600_2x.png
IPG_SS_T1_300x250,IPG Social Security T1 N Graphic 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T1,N Graphic,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Maximize Social Security to provide more benefits.,,3.5,Simplify finding your clients' best filing scenario.,,See video,,,,,ipg_ss_back_t1_300x250_2x.jpg,ipg_ss_front_t1_300x250_2x.png
IPG_SS_T1_300x600,IPG Social Security T1 N Graphic 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T1,N Graphic,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Maximize Social Security to provide more benefits.,,3.5,Simplify finding your clients' best filing scenario.,,See video,,,,,ipg_ss_back_t1_300x600_2x.jpg,ipg_ss_front_t1_300x600_2x.png
IPG_SS_T1_728x90,IPG Social Security T1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T1,N Crop,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Maximize Social Security<br>to provide more benefits.,,3.5,Simplify finding your clients' <br>best filing scenario.,,See video,,,,,ipg_ss_back_t1_728x90_2x.jpg,
IPG_SS_T1_970x90,IPG Social Security T1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T1,N Crop,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Maximize Social Security<br>to provide more benefits.,,3.5,Simplify finding your clients' <br>best filing scenario.,,See video,,,,,ipg_ss_back_t1_970x90_2x.jpg,
IPG_SS_T2_160x600,IPG Social Security T2 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T2,N Window,Vibrant Blue - White,,,,Social Security <br>360 Analyzer®,,Are your clients optimizing their Social Security benefits?,,3.5,Get five simple tips <br>to create <br>your clients' retirement income plans.,,See tips,,,,,ipg_ss_back_t2_160x600_2x.jpg,ipg_ss_front_t2_160x600_2x.png
IPG_SS_T2_300x250,IPG Social Security T2 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T2,N Window,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Are your clients<br>optimizing their<br>Social Security<br>benefits?,,3.5,Get five simple tips to<br>create your clients' retirement income plans.,,See tips,,,,,ipg_ss_back_t2_300x250_2x.jpg,ipg_ss_front_t2_300x250_2x.png
IPG_SS_T2_300x600,IPG Social Security T2 N Window 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T2,N Window,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Are your clients<br>optimizing their<br>Social Security<br>benefits?,,3.5,Get five simple tips to<br>create your clients' retirement income plans.,,See tips,,,,,ipg_ss_back_t2_300x600_2x.jpg,ipg_ss_front_t2_300x600_2x.png
IPG_SS_T2_728x90,IPG Social Security T2 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T2,N Crop,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Are your clients optimizing <br>their Social Security benefits?,,3.5,Get five simple tips to create your<br>clients' retirement income plans.,,See tips,,,,,ipg_ss_back_t2_728x90_2x.jpg,
IPG_SS_T2_970x90,IPG Social Security T2 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Social Security,IPG_SS,T2,N Crop,Vibrant Blue - White,,,,Social Security 360 Analyzer®,,Are your clients optimizing <br>their Social Security benefits?,,3.5,Get five simple tips to create your<br>clients' retirement income plans.,,See tips,,,,,ipg_ss_back_t2_970x90_2x.jpg,
IPG_SA_T1_160x600,IPG Secure Act T1 N Graphic 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T1,N Graphic,Vibrant Blue - White,,,,Simplifying the SECURE Act,,Recent legislation can ease clients' fear of outliving income.,,3.5,Our SECURE Act white paper simplifies <br>its benefits.,,Learn more,,,,,ipg_sa_back_t1_160x600_2x.jpg,ipg_sa_front_t1_160x600_2x.png
IPG_SA_T1_300x250,IPG Secure Act T1 N Graphic 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T1,N Graphic,Vibrant Blue - White,,,,Simplifying the SECURE Act,,Recent legislation can ease clients' fear of outliving income.,,3.5,Our SECURE Act white paper simplifies its benefits.,,Learn more,,,,,ipg_sa_back_t1_300x250_2x.jpg,ipg_sa_front_t1_300x250_2x.png
IPG_SA_T1_300x600,IPG Secure Act T1 N Graphic 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T1,N Graphic,Vibrant Blue - White,,,,Simplifying the SECURE Act,,Recent legislation can ease clients' fear of outliving income.,,3.5,Our SECURE Act white paper simplifies its benefits.,,Learn more,,,,,ipg_sa_back_t1_300x600_2x.jpg,ipg_sa_front_t1_300x600_2x.png
IPG_SA_T1_728x90,IPG Secure Act T1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T1,N Crop,Vibrant Blue - White,,,,Simplifying the SECURE Act,,Recent legislation can ease <br>clients' fear of outliving income.,,3.5,Our SECURE Act white paper<br>simplifies its benefits.,,Learn more,,,,,ipg_sa_back_t1_728x90_2x.jpg,
IPG_SA_T1_970x90,IPG Secure Act T1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T1,N Crop,Vibrant Blue - White,,,,Simplifying the SECURE Act,,Recent legislation can ease <br>clients' fear of outliving income.,,3.5,Our SECURE Act white paper<br>simplifies its benefits.,,Learn more,,,,,ipg_sa_back_t1_970x90_2x.jpg,
IPG_SA_T2_160x600,IPG Secure Act T2 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,Guaranteed lifetime income products <br>have a new <br>safe harbor.,,3.5,Discover how in-plan guarantees can help <br>plan sponsors and their participants.,,Learn more,,,,,ipg_sa_back_t2_160x600_2x.jpg,ipg_sa_front_t2_160x600_2x.png
IPG_SA_T2_300x250,IPG Secure Act T2 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,Guaranteed lifetime <br>income products <br>have a new<br>safe harbor.,,3.5,Discover how in-plan guarantees can help<br>plan sponsors and<br>their participants.,,Learn more,,,,,ipg_sa_back_t2_300x250_2x.jpg,ipg_sa_front_t2_300x250_2x.png
IPG_SA_T2_300x600,IPG Secure Act T2 N Window 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T2,N Window,Vibrant Blue - White,,,,Retirement Plans,,Guaranteed lifetime income products have a new safe harbor.,,3.5,Discover how in-plan guarantees can help <br>plan sponsors and <br>their participants.,,Learn more,,,,,ipg_sa_back_t2_300x600_2x.jpg,ipg_sa_front_t2_300x600_2x.png
IPG_SA_T2_728x90,IPG Secure Act T2 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T2,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Guaranteed lifetime income products <br>have a new safe harbor.,,3.5,Discover how in-plan guarantees <br>can help plan sponsors and<br>their participants.,,Learn more,,,,,ipg_sa_back_t2_728x90_2x.jpg,
IPG_SA_T2_970x90,IPG Secure Act T2 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,IPG Secure Act,IPG_SA,T2,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Guaranteed lifetime income <br>products have a new safe harbor.,,3.5,Discover how in-plan guarantees <br>can help plan sponsors <br>and their participants.,,Learn more,,,,,ipg_sa_back_t2_970x90_2x.jpg,
CW_Opt1_160x600,Cycle Watch Opt1 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,Cycle Watch,CW,Opt1,N Window,Vibrant Blue - White,,,,Cycle Watch<br>from Nationwide®,,What do the&nbsp;latest indicators reveal for your clients?,,3.5,Get a <br>client-friendly market and economic summary you can share each month.,,Get report,,,,,cw_back_opt1_160x600_2x.jpg,cw_front_opt1_160x600_2x.png
CW_Opt1_300x250,Cycle Watch Opt1 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,Cycle Watch,CW,Opt1,N Window,Vibrant Blue - White,,,,Cycle Watch from Nationwide®,,What do the latest <br>indicators reveal <br>for your clients?,,3.5,Get a client-friendly market and economic summary you can share each month.,,Get report,,,,,cw_back_opt1_300x250_2x.jpg,cw_front_opt1_300x250_2x.png
CW_Opt1_300x600,Cycle Watch Opt1 N Window 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,Cycle Watch,CW,Opt1,N Window,Vibrant Blue - White,,,,Cycle Watch from Nationwide®,,What do the latest <br>indicators reveal <br>for your clients?,,3.5,Get a client-friendly market and economic summary you can share each month.,,Get report,,,,,cw_back_opt1_300x600_2x.jpg,cw_front_opt1_300x600_2x.png
CW_Opt1_728x90,Cycle Watch Opt1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,Cycle Watch,CW,Opt1,N Crop,Vibrant Blue - White,,,,Cycle Watch from Nationwide®,,What do the latest indicators <br>reveal for your clients?,,3.5,Get a client-friendly market <br>and economic summary <br>you can share each month.,,Get report,,,,,cw_back_opt1_728x90_2x.jpg,
CW_Opt1_970x90,Cycle Watch Opt1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,Cycle Watch,CW,Opt1,N Crop,Vibrant Blue - White,,,,Cycle Watch from Nationwide®,,What do the latest indicators <br>reveal for your clients?,,3.5,Get a client-friendly market and economic <br>summary you can share each month.,,Get report,,,,,cw_back_opt1_970x90_2x.jpg,
MI_Opt1_160x600,Market Insights Opt1 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,Market Insights,MI,Opt1,N Window,Vibrant Blue - White,,,,Nationwide <br>Market Insights™,,Get market insights and commentary you can use with your clients.,,3.5,See why this year might be positioned to experience strong financial and economic growth.,,Get report,,,,,mi_back_opt1_160x600_2x.jpg,mi_front_opt1_160x600_2x.png
MI_Opt1_300x250,Market Insights Opt1 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,Market Insights,MI,Opt1,N Window,Vibrant Blue - White,,,,Nationwide Market Insights™,,Get market insights <br>and commentary <br>you can use with <br>your clients.,,3.5,See why this year might be positioned to experience <br>strong financial and economic growth.,,Get report,,,,,mi_back_opt1_300x250_2x.jpg,mi_front_opt1_300x250_2x.png
MI_Opt1_300x600,Market Insights Opt1 N Window 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,Market Insights,MI,Opt1,N Window,Vibrant Blue - White,,,,Nationwide Market Insights™,,Get market insights and commentary <br>you can use with your&nbsp;clients.,,3.5,See why this year might be positioned to experience strong financial and economic growth.,,Get report,,,,,mi_back_opt1_300x600_2x.jpg,mi_front_opt1_300x600_2x.png
MI_Opt1_728x90,Market Insights Opt1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,Market Insights,MI,Opt1,N Crop,Vibrant Blue - White,,,,Nationwide Market Insights™,,Get market insights and commentary <br>you can use with your clients.,,3.5,See why this year might be positioned to experience strong financial and economic growth.,,Get report,,,,,mi_back_opt1_728x90_2x.jpg,
MI_Opt1_970x90,Market Insights Opt1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,Market Insights,MI,Opt1,N Crop,Vibrant Blue - White,,,,Nationwide Market Insights™,,Get market insights and commentary <br>you can use with your clients.,,3.5,See why this year might be positioned <br>to experience strong financial <br>and economic growth.,,Get report,,,,,mi_back_opt1_970x90_2x.jpg,
STM_Opt1_TextOnly_160x600,Speed To Market Opt1 Text Only 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt1,Text Only,Vibrant Blue - White,,,,Capital Markets,,Simplicity saves time for solving clients’  problems.,,3.5,Read how more fiscal stimulus could affect bond investors.,,Learn more,,,,,,
STM_Opt1_TextOnly_300x250,Speed To Market Opt1 Text Only 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt1,Text Only,Vibrant Blue - White,,,,Capital Markets,,Simplicity saves time for solving clients’  problems.,,3.5,Read how more fiscal <br>stimulus could affect <br>bond investors.,,Learn more,,,,,,
STM_Opt1_TextOnly_300x600,Speed To Market Opt1 Text Only 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt1,Text Only,Vibrant Blue - White,,,,Capital Markets,,Simplicity saves time for solving clients’  problems.,,3.5,Read how more fiscal stimulus could affect <br>bond investors.,,Learn more,,,,,,
STM_Opt1_TextOnly_728x90,Speed To Market Opt1 Text Only 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt1,Text Only,Vibrant Blue - White,,,,Capital Markets,,Simplicity saves time for solving clients’  problems.,,3.5,Read how more fiscal stimulus <br>could affect bond investors.,,Learn more,,,,,,
STM_Opt1_TextOnly_970x90,Speed To Market Opt1 Text Only 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt1,Text Only,Vibrant Blue - White,,,,Capital Markets,,Simplicity saves time for solving clients’  problems.,,3.5,Read how more fiscal stimulus could affect bond investors.,,Learn more,,,,,,
STM_Opt2_TextOnly_160x600,Speed To Market Opt2 Text Only 160x600,stm_2021_all,160x600,FALSE,TRUE,https://blog.nationwidefinancial.com/markets-economy/capital-market-impact/concerns-rise-over-tax-increase-proposals/?utm_medium=cpm&utm_campaign=nf&utm_source=%s&utm_content=nri:multi-device:%s:na:um:160x600:stm-nmiq3-t1:%epid!&utm_term=na,Speed To Market,STM,Opt2,Text Only,Vibrant Blue - White,,,,Capital Markets,,We simplify market insights so you can act&nbsp;quicker.,,3.5,Will higher capital gains taxes impact the stock market?,letterSpacing: -0.5px,Learn more,,,,,,
STM_Opt2_TextOnly_300x250,Speed To Market Opt2 Text Only 300x250,stm_2021_all,300x250,FALSE,TRUE,https://blog.nationwidefinancial.com/markets-economy/capital-market-impact/concerns-rise-over-tax-increase-proposals/?utm_medium=cpm&utm_campaign=nf&utm_source=%s&utm_content=nri:multi-device:%s:na:um:300x250:stm-nmiq3-t1:%epid!&utm_term=na,Speed To Market,STM,Opt2,Text Only,Vibrant Blue - White,,,,Capital Markets,,We simplify market insights so you can act&nbsp;quicker.,,3.5,Will higher capital gains taxes impact the stock market?,,Learn more,,,,,,
STM_Opt2_TextOnly_300x600,Speed To Market Opt2 Text Only 300x600,stm_2021_all,300x600,FALSE,TRUE,https://blog.nationwidefinancial.com/markets-economy/capital-market-impact/concerns-rise-over-tax-increase-proposals/?utm_medium=cpm&utm_campaign=nf&utm_source=%s&utm_content=nri:multi-device:%s:na:um:300x600:stm-nmiq3-t1:%epid!&utm_term=na,Speed To Market,STM,Opt2,Text Only,Vibrant Blue - White,,,,Capital Markets,,We simplify market insights so you can act&nbsp;quicker.,,3.5,Will higher capital gains taxes impact the stock market?,,Learn more,,,,,,
STM_Opt2_TextOnly_728x90,Speed To Market Opt2 Text Only 728x90,stm_2021_all,728x90,FALSE,TRUE,https://blog.nationwidefinancial.com/markets-economy/capital-market-impact/concerns-rise-over-tax-increase-proposals/?utm_medium=cpm&utm_campaign=nf&utm_source=%s&utm_content=nri:multi-device:%s:na:um:728x90:stm-nmiq3-t1:%epid!&utm_term=na,Speed To Market,STM,Opt2,Text Only,Vibrant Blue - White,,,,Capital Markets,,We simplify market insights <br>so you can act&nbsp;quicker.,,3.5,Will higher capital gains taxes <br>impact the stock market?,,Learn more,,,,,,
STM_Opt2_TextOnly_970x90,Speed To Market Opt2 Text Only 970x90,stm_2021_all,970x90,FALSE,TRUE,https://blog.nationwidefinancial.com/markets-economy/capital-market-impact/concerns-rise-over-tax-increase-proposals/?utm_medium=cpm&utm_campaign=nf&utm_source=%s&utm_content=nri:multi-device:%s:na:um:970x90:stm-nmiq3-t1:%epid!&utm_term=na,Speed To Market,STM,Opt2,Text Only,Vibrant Blue - White,,,,Capital Markets,,We simplify market insights so you can act&nbsp;quicker.,,3.5,Will higher capital gains taxes impact the stock market?,,Learn more,,,,,,
STM_Opt3_160x600,Speed To Market Opt3 N Window 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt3,N Window,Vibrant Blue - White,,,,Advisor Advocate Blog,,We make news headlines simpler <br>so you can save&nbsp;time.,,3.5,Read our new article about uncertainty clouding recovery.,,Learn more,,,,,stm_back_opt3_160x600_2x.jpg,stm_front_opt3_160x600_2x.png
STM_Opt3_300x250,Speed To Market Opt3 N Window 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,Speed To Market,STM,Opt3,N Window,Vibrant Blue - White,,,,Advisor Advocate Blog,,We make news <br>headlines simpler <br>so you can save time.,,3.5,Read our new article <br>about uncertainty <br>clouding recovery.,,Learn more,,,,,stm_back_opt3_300x250_2x.jpg,stm_front_opt3_300x250_2x.png
